A,A,"Pertanian, Perburuan, dan Kehutanan",
A,01,Pertanian dan Perburuan,
A,02,Kehutanan,
A,011,"Pertanian Tanaman Pangan, Tanaman Perkebunan, dan Hortikultura",
A,012,Peternakan,
A,013,Kombinasi Pertanian atau Perkebunan dengan Peternakan (Mixed Farming),
A,014,"Jasa Pertanian, Perkebunan dan Peternakan",
A,015,Perburuan/Penangkapan dan Penangkaran Satwa Liar,
A,020,Kehutanan,
A,0111,Pertanian Tanaman Pangan dan Perkebunan,
A,0112,Pertanian Hortikultura Sayuran dan Bunga-bungaan,
A,0113,"Pertanian Buah-buahan, Perkebunan Kelapa, Perkebunan Kelapa Sawit, Perkebunan Tanaman Untuk Minuman, Perkebunan Jambu Mete, dan Perkebunan Tanaman Untuk Rempah",
A,0121,Pembibitan dan Budidaya Ternak,
A,0122,Pembibitan dan Budidaya Ternak Lainnya,
A,0130,Kombinasi Pertanian Atau Perkebunan Dengan Peternakan (mixed Farming),
A,0140,"Jasa Pertanian, Perkebunan dan Peternakan",
A,0150,Perburuan/Penangkapan dan Penangkaran Satwa Liar,
A,0201,Pengusahaan Hutan Tanaman,
A,0202,Pengusahaan Hutan Alam,
A,0203,Pengusahaan Hasil Hutan Selain Kayu,
A,0204,Jasa Kehutanan,
A,0205,Usaha Kehutanan Lainnya,
A,01111,Pertanian Padi,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan dan pasca panen padi sawah dan padi ladang sampai dengan dihasilkan produk gabah kering basah (GKB). Budidaya ikan di sawah (mina padi) digolongkan dalam kegiatan perikanan."
A,01112,Pertanian Palawija,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan dan pasca panen biji-bijian, seperti: jagung, sorgum/ cantel, gandum, wijen, biji bunga matahari; kacang-kacangan, seperti: kacang tanah, kedelai, kacang hijau, dan kacang polong; dan umbi-umbian, baik umbi batang seperti: talas, irut dan ganyong; maupun umbi akar, seperti: ubi kayu, ubi jalar, dan gembili. Kacang merah dan kacang panjang dimasukkan dalam kelompok 01122."
A,01113,Perkebunan Tebu dan Tanaman Pemanis Lainnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, pemanenan tebu dan tanaman pemanis lainnya, seperti: bit, stevia, dan sorgum manis."
A,01114,Perkebunan Tembakau,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman tembakau. Termasuk pula pengolahan daun tembakau yang tak dapat dipisahkan dari kegiatan perkebunan."
A,01115,Perkebunan Karet dan Penghasil Getah Lainnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman karet dan tanaman penghasil getah lainnya, seperti: getah perca dan kemenyan. Termasuk pengolahan hasil tanaman karet yang tidak dapat dipisahkan dari kegiatan perkebunan."
A,01116,Perkebunan Tanaman Bahan Baku Tekstil dan Sejenisnya,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman bahan baku tekstil, seperti: kapuk, kapas, rosela, rami, yute, linen, agave, abaca dan kenaf."
A,01117,Perkebunan Tanaman Obat/ Bahan Farmasi,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman obat/ bahan farmasi (termasuk pula tanaman bahan insektisida dan fungisida dan yang sejenis) seperti: kina, jahe, adas, kapulaga, kunyit, temulawak, temugiring, orang-aring, iles-iles, pinang, gambir, jarak."
A,01118,Perkebunan Tanaman Minyak Atsiri,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman perkebunan minyak atsiri, seperti: sereh wangi, nilam, menthol, cendana, kenanga, ilang-ilang."
A,01119,Perkebunan Tanaman Lainnya Yang Tidak Diklasifikasikan Di Tempat Lain,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman perkebunan lainnya yang tidak termasuk dalam kelompok manapun. Termasuk tanaman pupuk hijau, tanaman penutup tanah, dan tanaman pakan ternak (rumput gajah, murbei). Tanaman perkebunan teh, kakao, dan kopi dimasukkan dalam kelompok 01135. Tanaman perkebunan bumbu-bumbuan dimasukkan dalam kelompok 01137-01139."
A,01121,Pertanian Hortikultura Sayuran Yang Dipanen Sekali,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan pasca panen sayuran yang dipanen sekali, seperti: bawang merah, bawang putih, kentang, kubis, petsai/ sawi, wortel dan lobak. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini."
A,01122,Pertanian Hortikultura Sayuran Yang Dipanen Lebih Dari Sekali,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan pasca panen sayuran yang dipanen lebih dari sekali, seperti: kacang panjang, kacang merah, cabe, tomat, terong, buncis, ketimun, labu siam, bayam, kangkung dan jamur."
