A,A,"Pertanian, Kehutanan dan Perikanan","Kategori ini mencakup semua kegiatan ekonomi/lapangan usaha, yang meliputi pertanian tanaman pangan, tanaman perkebunan, hortikultura, peternakan, pengambilan dan penanaman hasil hutan serta penangkapan dan budidaya ikan/biota air. Kategori ini juga mencakup jasa penunjang masing-masing kegiatan ekonomi tersebut."
A,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI","Golongan pokok ini mencakup pertanian tanaman pangan, tanaman perkebunan dan hortikultura; usaha pemeliharaan hewan ternak dan unggas; perburuan dan penangkapan hewan dengan perangkap serta kegiatan penunjang ybdi yang ditujukan untuk dijual. Termasuk budidaya tanaman dan hewan ternak secara organik dan genetik. Kegiatan konstruksi lahan seperti pembuatan petak-petak sawah, irigasi saluran pembuangan air, serta pembersihan dan perbaikan lahan untuk pertanian tidak termasuk di sini, tetapi tercakup pada kategori konstruksi (F)."
A,011,Pertanian Tanaman Semusim,"Golongan ini mencakup penanaman tanaman yang tidak berlangsung lebih dari dua musim panen. Termasuk penanaman tanaman dalam berbagai media dan budidaya tanaman secara genetik, dan juga penanaman untuk tujuan pembibitan dan pembenihan."
A,0111,"Pertanian tanaman serealia (bukan padi), kacang-kacangan dan biji-bijian penghasil minyak","Subgolongan ini mencakup semua tanaman serealia, pertanian kacang-kacangan dan penghasil minyak di lahan terbuka, termasuk pertanian tanaman organik dan pertanian tumbuhan yang telah dimodifikasi. Pertanian tanaman ini sering dikombinasikan dalam unit pertanian.
Subgolongan ini mencakup :
 -  Pertanian tanaman serealia seperti gandum, jagung, sorgum, gandum untuk membuat bir (barley), gandum hitam (rye), oats, millet dan serealia lainnya 
 -  Pertanian tanaman kacang-kacangan palawija, mencakup kacang kedelai, kacang tanah dan kacang hijau 
 Pertanian tanaman kacang-kacangan hortikultura, mencakup buncis, buncis besar, kacang panjang, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman kacang-kacangan lainnya 
-   Pertanian tanaman penghasil minyak, seperti biji kapas, biji castor, biji rami, biji mustard, niger seeds, lobak, biji wijen, safflower seeds, biji bunga matahari dan tanaman penghasil minyak lainnya 

Subgolongan ini tidak mencakup :
-  Pertanian tanaman jagung (maize)untuk makanan ternak, lihat 0119
"
A,01111,Pertanian Tanaman Jagung,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia jagung."
A,01112,Pertanian Tanaman Gandum,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia gandum, seperti sorgum/cantel, gandum (wheat/oats), jelai (barley), gandum hitam (rye), jawawut (millet) dan sejenisnya."
A,01113,Pertanian Tanaman Kedelai,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kedelai (kacang palawija)."
A,01114,Pertanian Tanaman Kacang Tanah,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang tanah (kacang palawija)."
A,01115,Pertanian Tanaman Kacang Hijau,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang hijau (kacang palawija)."
A,01116,Pertanian Tanaman Kacang-kacangan Hortikultura,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman tanaman kacang-kacangan hortikultura, seperti buncis, buncis besar, kacang panjang, kacang merah, gude, kara, kapri, kecipir, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman kacang-kacangan lainnya."
